#{"t_start": 1780981073.5183122, "env_id": "None"}
r,l,t
80.739931,99,4.129125
45.603805,99,6.658539
54.857271,99,9.344408
27.140453,99,11.512974
32.199806,99,13.773907
37.998053,99,16.148922
76.292089,99,19.528687
62.740331,99,22.807471
60.589369,99,25.583298
30.382356,99,27.785441
68.169832,99,31.216913
69.257955,99,34.628887
60.904178,99,37.77772
62.96685,99,40.900583
52.126853,99,43.588525
58.105611,99,46.655595
47.845119,99,49.282717
76.495885,99,52.637361
87.003272,99,56.514858
77.785968,99,60.421196
88.237888,99,65.062199
76.485106,99,68.573211
87.673161,99,72.327535
83.929584,99,76.094536
86.680987,99,79.858759
84.788918,99,83.575746
79.144071,99,87.329731
82.344821,99,91.097927
67.357115,99,94.356851
85.690635,99,98.054262
85.924637,99,101.727827
84.548972,99,105.62196
86.669893,99,109.485976
87.850993,99,113.190517
74.420794,99,116.616808
81.731574,99,120.327287
79.394018,99,123.876347
87.391944,99,127.703097
87.6728,99,131.597811
89.557414,99,135.263488
85.32184,99,138.926352
87.120726,99,142.652975
83.639432,99,146.280559
85.668563,99,149.890493
84.439138,99,153.616065
80.596374,99,157.332858
87.89867,99,161.061316
87.25107,99,164.817785
86.439398,99,168.74792
85.664227,99,172.578772
86.617334,99,176.237921
86.03495,99,180.407585
86.487493,99,184.256386
87.055409,99,187.99385
84.039964,99,191.627186
86.445892,99,195.495432
84.153131,99,199.200618
91.985747,99,203.104828
87.270151,99,207.154582
85.802563,99,211.032219
89.421582,99,214.897169
86.209978,99,218.621999
85.074288,99,222.356386
87.243912,99,225.992456
86.296015,99,229.850681
86.552999,99,233.63552
86.128386,99,237.578732
86.440087,99,241.413652
86.38884,99,245.270919
87.144435,99,249.005686
86.552872,99,252.787336
85.559643,99,256.612118
91.777673,99,260.215492
86.552999,99,263.963758
91.985747,99,267.699258
86.439282,99,271.52896
86.555197,99,275.271668
86.612548,99,279.176003
85.782446,99,283.388166
85.768626,99,287.161264
86.552872,99,291.155537
86.005696,99,295.053964
86.552999,99,298.842797
86.552999,99,302.645776
86.485279,99,306.386011
86.556571,99,310.126719
86.552999,99,313.946208
86.552999,99,317.825756
86.007752,99,321.547107
86.552999,99,325.306439
86.552999,99,329.138435
86.552999,99,332.995826
86.552999,99,336.742492
86.552999,99,340.503607
86.552999,99,344.30584
86.552999,99,348.112262
86.552999,99,351.797978
86.552999,99,355.801827
86.552999,99,360.11467
86.552999,99,364.125129
86.552999,99,368.367464
86.552999,99,372.59211
86.552999,99,376.821466
86.556442,99,380.994186
86.552999,99,385.275083
86.128386,99,389.519037
86.134303,99,393.560919
86.552999,99,397.471897
