scenario_id,method,throughput_mbps,avg_delay_ms,loss_rate,utility_score
S1,ns3::TcpLinuxReno,9.823643,105.418526,0.000731,0.875053
S2,ns3::TcpLinuxReno,9.794365,129.443237,0.001363,0.922656
S1,ns3::TcpCubic,9.894414,117.668105,0.000504,0.884401
S2,ns3::TcpCubic,9.587526,156.271566,0.008848,0.818185
S1,ns3::TcpBbr,9.727414,25.885311,0.0,0.946856
S2,ns3::TcpBbr,0.385408,148.652905,0.015816,-0.169173
S3,ns3::TcpLinuxReno,9.809688,61.477284,0.000672,0.912774
S3,ns3::TcpCubic,9.894414,67.901421,0.000565,0.915889
S4,ns3::TcpLinuxReno,5.136643,117.950862,0.001978,0.393881
S4,ns3::TcpCubic,5.484814,123.922922,0.001634,0.43214
S1,DQN,9.877090909090908,115.2501857070707,0.004040393939393939,0.8998852055435153
